"ID","Site","SystemID","FID","System No","CSL ID","Finding ID","Finding Description","Priority ID","Priority","CAPA ID","CAPA Description","Modified","Created","Created By","Modified By"
"1","BMW","BMW-LAS_001","BMW-LAS_001-T1-2-2","LAS_001","4C5MET04552","T1","Input record (methods) can be edited by the authorized users without AT tracking, and without automatic versioning. Paper based managed control (paper form) is in place, but without link with the ER (no naming convention for the ER).","2","SIGNIFICANT","2","Implement Audit Trail functionality within the SW or implement a fully compliant paper based management in case of Audit Trail not compliant","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"2","BMW","BMW-LAS_001","BMW-LAS_001-VD2-2-4","LAS_001","4C5MET04552","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","2","SIGNIFICANT","4","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"3","BMW","BMW-LAS_001","BMW-LAS_001-I2-1-1","LAS_001","4C5MET04552","I2","Input records can be overwritten by authorized users without tracking or automatic versioning.","1","HIGH","1","Implement paper based management of input ER versioning. E.g. improve relevant procedure including a naming convention for the versioning of the method saved in the system (or establish other univocal link between the paper based form the ER).","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"4","BMW","BMW-LAS_001","BMW-LAS_001-T3-2-3","LAS_001","4C5MET04552","T3","AT procedure in place but not covering all scenarios and not consistent with AT capabilities (e.g checklist includes check of method modification, but system AT does not support method modification tracking)","2","SIGNIFICANT","3","Implement a fully compliant Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"5","BMW","BMW-LAS_002","BMW-LAS_002-T1-2-2","LAS_002","4C5MET401851","T1","Input record (methods) can be edited by the authorized users without AT tracking, and without automatic versioning. Paper based managed control (paper form) is in place, but without link with the ER (no naming convention for the ER).","2","SIGNIFICANT","2","Implement Audit Trail functionality within the SW or implement a fully compliant paper based management in case of Audit Trail not compliant","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"6","BMW","BMW-LAS_002","BMW-LAS_002-VD2-2-4","LAS_002","4C5MET401851","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","2","SIGNIFICANT","4","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"7","BMW","BMW-LAS_002","BMW-LAS_002-I2-1-1","LAS_002","4C5MET401851","I2","Input records can be overwritten by authorized users without tracking or automatic versioning.","1","HIGH","1","Implement paper based management of input ER versioning. E.g. improve relevant procedure including a naming convention for the versioning of the method saved in the system (or establish other univocal link between the paper based form the ER).","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"8","BMW","BMW-LAS_002","BMW-LAS_002-T3-2-3","LAS_002","4C5MET401851","T3","AT procedure in place but not covering all scenarios and not consistent with AT capabilities (e.g checklist includes check of method modification, but system AT does not support method modification tracking)","2","SIGNIFICANT","3","Implement a fully compliant Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"9","BMW","BMW-LAS_003","BMW-LAS_003-I3-1-2","LAS_003","4C5MET401951","I3","Data can be altered through OS functionalities (e.g. file deletion, renaming) by all users","1","HIGH","2","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"10","BMW","BMW-LAS_003","BMW-LAS_003-S2-2-1","LAS_003","4C5MET401951","S2","Improper or unclear User Group's privileges configuration (Analyst and developer are not clearly configured).","2","SIGNIFICANT","1","Configure at least 3 user groups with a proper segregation of duties","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"11","BMW","BMW-LAS_003","BMW-LAS_003-T1-2-3","LAS_003","4C5MET401951","T1","The user is manually selecting which information from the AT is to be printed at the end of the analysis run.","2","SIGNIFICANT","3","Configure the system in order to automatically print the relevant information from AT at the end of the analysis run","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"12","BMW","BMW-LAS_003","BMW-LAS_003-VD2-2-4","LAS_003","4C5MET401951","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","2","SIGNIFICANT","4","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"13","BMW","BMW-LAS_004","BMW-LAS_004-S1-2-1","LAS_004","4C6MET00466","S1","System does not allow to configure unique/personal accounts","2","SIGNIFICANT","1","Update the application SW in order to implement a proper user management. In the meantime, issue a Security SOP regulating a manual or hybrid management of secondary security features including the management of a paper-based logbook.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"14","BMW","BMW-LAS_004","BMW-LAS_004-S2-3-2","LAS_004","4C6MET00466","S2","System does not allow to configure multiple access levels (e.g. User Profile)","3","MODERATE","2","Update Utilization SOP defining User levels and related privileges","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"15","BMW","BMW-LAS_004","BMW-LAS_004-S3-4-3","LAS_004","4C6MET00466","S3","System does not allow to configure any Security feature","4","LOW","3","Issue a Security SOP regulating a manual or hybrid management of Password security management","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"16","BMW","BMW-LAS_004","BMW-LAS_004-T1-2-6","LAS_004","4C6MET00466","T1","No automatic Audit Trail or automatic data versioning is allowed by the SW application. Data can be modified/overwritten without any automatic traceability","2","SIGNIFICANT","6","Implement Audit Trail functionality within the SW or implement a fully compliant paper based management in case of Audit Trail not compliant","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"17","BMW","BMW-LAS_004","BMW-LAS_004-T2-2-7","LAS_004","4C6MET00466","T2","Time Reference (Date & Time) is not protected for operative users for operative users","2","SIGNIFICANT","7","Configure Time Reference protection, e.g. locking Time reference setting and assigning modification privileges only to authorized users, or implement procedural mitigation.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"18","BMW","BMW-LAS_004","BMW-LAS_004-I2-2-5","LAS_004","4C6MET00466","I2","SW application allows user to alter data without any traceability","2","SIGNIFICANT","5","Implement an automatic security policy for data protection for the SW","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"19","BMW","BMW-LAS_004","BMW-LAS_004-T3-3-8","LAS_004","4C6MET00466","T3","AT functionality not available","3","MODERATE","8","Implementation of action reported in T1 section. Consequent implementation of an Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"20","BMW","BMW-LAS_004","BMW-LAS_004-VD1-2-9","LAS_004","4C6MET00466","VD1","Computer System Validation Documents not available (not executed or not retrievable)","2","SIGNIFICANT","9","Create/retrieve the missing validation documents covering the following topics:
a. Validation Plan
b. CSV SOPs
c. User Requirements
d. Configuration / Design Specifications
e. Risk Assessment
f. testing documentation
g. Report","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"21","BMW","BMW-LAS_004","BMW-LAS_004-S4-3-4","LAS_004","4C6MET00466","S4","No Official User List is in place","3","MODERATE","4","Issue a User List that is coherent and aligned with the users trained to use the system.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"22","BMW","BMW-LAS_006","BMW-LAS_006-I1-2-3","LAS_006","4C6MET400536","I1","The user have to save the report on the server folder, and can do it only when he prints the results. Otherwise he cannot print and not save the data.","2","SIGNIFICANT","3"," Implement a process of automatic data backup following the relevant procedure and best practice","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"23","BMW","BMW-LAS_006","BMW-LAS_006-I3-2-4","LAS_006","4C6MET400536","I3","Output data are protected from alteration/deletion, but Input data (e.g. method, recipe) can be modified by all users","2","SIGNIFICANT","4","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to modify/delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"24","BMW","BMW-LAS_006","BMW-LAS_006-S1-2-1","LAS_006","4C6MET400536","S1","Unique, personal accounts are configured in the system for users, but one or more generic accounts (e.g. Administrator) are configured","2","SIGNIFICANT","1","Remove generic accounts. In case generic accounts dedicated to service and maintenance are required, they need to be mapped, justified, and managed through a controlled activation/deactivation process.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"25","BMW","BMW-LAS_006","BMW-LAS_006-S3-4-2","LAS_006","4C6MET400536","S3","System does not allow to configure any Security feature","4","LOW","2","Issue a Security SOP regulating a manual or hybrid management of secondary security features","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"26","BMW","BMW-LAS_006","BMW-LAS_006-T1-3-6","LAS_006","4C6MET400536","T1","Audit Trail shows the change but not the reason for change, there is no comment available.","3","MODERATE","6","Implement a paper based management in case of Audit Trail not fully compliant (i.e. old&new values or reason for change are not recorded)","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"27","BMW","BMW-LAS_006","BMW-LAS_006-T2-2-7","LAS_006","4C6MET400536","T2","Time Reference (Date & Time) is not protected for operative users","2","SIGNIFICANT","7","Configure Time Reference protection, e.g. locking Time reference setting and assigning modification privileges only to authorized users, or implement procedural mitigation.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"28","BMW","BMW-LAS_006","BMW-LAS_006-VD2-3-8","LAS_006","4C6MET400536","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","3","MODERATE","8","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"29","BMW","BMW-LAS_006","BMW-LAS_006-I4-2-5","LAS_006","4C6MET400536","I4","Autosave functionality for output records is not available","2","SIGNIFICANT","5","Document the manual workaround for saving output records","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"30","BMW","BMW-LAS_007","BMW-LAS_007-I1-2-3","LAS_007","4C6MET401320","I1","The user have to save the report on the server folder, and can do it only when he prints the results. Otherwise he cannot print and not save the data.","2","SIGNIFICANT","3"," Implement a process of automatic data backup following the relevant procedure and best practice","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"31","BMW","BMW-LAS_007","BMW-LAS_007-I3-2-4","LAS_007","4C6MET401320","I3","Output data are protected from alteration/deletion, but Input data (e.g. method, recipe) can be modified by all users","2","SIGNIFICANT","4","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to modify/delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"32","BMW","BMW-LAS_007","BMW-LAS_007-S1-2-1","LAS_007","4C6MET401320","S1","Unique, personal accounts are configured in the system for users, but one or more generic accounts (e.g. Administrator) are configured","2","SIGNIFICANT","1","Remove generic accounts. In case generic accounts dedicated to service and maintenance are required, they need to be mapped, justified, and managed through a controlled activation/deactivation process.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"33","BMW","BMW-LAS_007","BMW-LAS_007-S3-4-2","LAS_007","4C6MET401320","S3","System does not allow to configure any Security feature","4","LOW","2","Issue a Security SOP regulating a manual or hybrid management of secondary security features","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"34","BMW","BMW-LAS_007","BMW-LAS_007-T1-3-6","LAS_007","4C6MET401320","T1","Audit Trail shows the change information but not the reason for change, and there is no comment available.","3","MODERATE","6","Implement a paper based management in case of Audit Trail not fully compliant (i.e. old&new values or reason for change are not recorded)","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"35","BMW","BMW-LAS_007","BMW-LAS_007-T2-2-7","LAS_007","4C6MET401320","T2","Time Reference (Date & Time) is not protected for operative users","2","SIGNIFICANT","7","Configure Time Reference protection, e.g. locking Time reference setting and assigning modification privileges only to authorized users, or implement procedural mitigation.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"36","BMW","BMW-LAS_007","BMW-LAS_007-VD2-3-8","LAS_007","4C6MET401320","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","3","MODERATE","8","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"37","BMW","BMW-LAS_007","BMW-LAS_007-I4-2-5","LAS_007","4C6MET401320","I4","Autosave functionality for output records is not available","2","SIGNIFICANT","5","Document the manual workaround for saving output records","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"38","BMW","BMW-LAS_008","BMW-LAS_008-I1-2-3","LAS_008","4C6MET401119","I1","The user have to save the report on the server folder, and can do it only when he prints the results. Otherwise he cannot print and not save the data.","2","SIGNIFICANT","3"," Implement a process of automatic data backup following the relevant procedure and best practice","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"39","BMW","BMW-LAS_008","BMW-LAS_008-I3-2-4","LAS_008","4C6MET401119","I3","Output data are protected from alteration/deletion, but Input data (e.g. method, recipe) can be modified by all users","2","SIGNIFICANT","4","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to modify/delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"40","BMW","BMW-LAS_008","BMW-LAS_008-S1-2-1","LAS_008","4C6MET401119","S1","Unique, personal accounts are configured in the system for users, but one or more generic accounts (e.g. Administrator) are configured","2","SIGNIFICANT","1","Remove generic accounts. In case generic accounts dedicated to service and maintenance are required, they need to be mapped, justified, and managed through a controlled activation/deactivation process.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"41","BMW","BMW-LAS_008","BMW-LAS_008-S3-4-2","LAS_008","4C6MET401119","S3","System does not allow to configure any Security feature","4","LOW","2","Issue a Security SOP regulating a manual or hybrid management of secondary security features","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"42","BMW","BMW-LAS_008","BMW-LAS_008-T1-3-6","LAS_008","4C6MET401119","T1","Audit Trail shows the change but not the reason for change, there is no comment available.","3","MODERATE","6","Implement a paper based management in case of Audit Trail not fully compliant (i.e. old&new values or reason for change are not recorded)","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"43","BMW","BMW-LAS_008","BMW-LAS_008-T2-2-7","LAS_008","4C6MET401119","T2","Time Reference (Date & Time) is not protected for operative users","2","SIGNIFICANT","7","Configure Time Reference protection, e.g. locking Time reference setting and assigning modification privileges only to authorized users, or implement procedural mitigation.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"44","BMW","BMW-LAS_008","BMW-LAS_008-VD2-3-8","LAS_008","4C6MET401119","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","3","MODERATE","8","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"45","BMW","BMW-LAS_008","BMW-LAS_008-I4-2-5","LAS_008","4C6MET401119","I4","Autosave functionality for output records is not available","2","SIGNIFICANT","5","Document the manual workaround for saving output records","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"46","BMW","BMW-LAS_009","BMW-LAS_009-T3-2-1","LAS_009","4C5MET04507/8","T3","AT procedure in place but not covering all scenarios (AT review at the end of every process but only for event linked to the specificic process)","2","SIGNIFICANT","1","Implement a fully compliant Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"47","BMW","BMW-LAS_009","BMW-LAS_009-VD2-2-2","LAS_009","4C5MET04507/8","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","2","SIGNIFICANT","2","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"48","BMW","BMW-LAS_010","BMW-LAS_010-T3-2-1","LAS_010","4C5MET401952/3","T3","AT procedure in place but not covering all scenarios (AT review at the end of every process but only for event linked to the specificic process)","2","SIGNIFICANT","1","Implement a fully compliant Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"49","BMW","BMW-LAS_010","BMW-LAS_010-VD2-2-2","LAS_010","4C5MET401952/3","VD2","Computer System Validation executed but incomplete (e.g. Part 11/Annex 11 requirements are not properly addressed and tested in the specification and verification protocols)","2","SIGNIFICANT","2","Issue the missing documentation or perform the missing tests ","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
