"ID","Site","SystemID","System No","CSL ID","Risk Level","Product","Plant","Business Unit","Control SW + Version","Controlled Equipment","Remediation Due Date","Modified","Created","Created By","Modified By"
"1","BMW","BMW-LAS_001","LAS_001","4C5MET04552","HIGH",,"Broadmeadows","Chemistry","SpectrAA (5.4)","Agilent 240FS AA Spectrometer",,"9/21/2023 8:53 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"2","BMW","BMW-LAS_002","LAS_002","4C5MET401851","HIGH",,"Broadmeadows","Chemistry","SpectrAA (5.4)","Agilent 240FS AA Spectrometer",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"3","BMW","BMW-LAS_003","LAS_003","4C5MET401951","HIGH",,"Broadmeadows","Chemistry","Syngistix (3.1.0)","Perkin Elmer PinAAcle 900F AA Spectrometer",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"4","BMW","BMW-LAS_004","LAS_004","4C6MET00466","MEDIUM",,"Broadmeadows","BioChem","ACL Elite Pro (3.01.01)","Werfen ACL Elite Pro",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"5","BMW","BMW-LAS_006","LAS_006","4C6MET400536","MEDIUM",,"Broadmeadows","BioChem","CS-5100 (01-13)","Siemens Sysmex CS-5100",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"6","BMW","BMW-LAS_007","LAS_007","4C6MET401320","MEDIUM",,"Broadmeadows","BioChem","CS-5100 (01-13)","Siemens Sysmex CS-5100",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"7","BMW","BMW-LAS_008","LAS_008","4C6MET401119","MEDIUM",,"Broadmeadows","BioChem","CS-5100 (01-13)","Siemens Sysmex CS-5100",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"8","BMW","BMW-LAS_009","LAS_009","4C5MET04507/8","HIGH",,"Broadmeadows","Chemistry","Tiamo (2.5)","Metrohm 907/852 Karl fischer/Autotitrator",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"9","BMW","BMW-LAS_010","LAS_010","4C5MET401952/3","HIGH",,"Broadmeadows","Chemistry","Tiamo (2.5)","Metrohm 907/867/852 Karl Fischer/Autotitrator",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"10","BMW","BMW-LAS_012","LAS_012","4C5MET402666","HIGH",,"Broadmeadows","BioChem","ImageLab (6.0.1.34)","BioRad GS-900 Densitometer",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"11","BMW","BMW-LAS_013","LAS_013","4C5MET400042","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Rudolph DDM2911 Auto Density Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"12","BMW","BMW-LAS_014","LAS_014","4C5MET401472","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Rudolph DDM2911 Auto Density Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"13","BMW","BMW-LAS_015","LAS_015","4C5MET401285","HIGH",,"Broadmeadows","Chemistry","Leco Trumac (1.50)","Leco TruMac N Dumas Nitrogen Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
